sr_no,cetp_name,total_industries,capacity_mld,executing_agency,compliance_status,department,bod_actual,bod_design,cod_actual,cod_design,tss_actual,tss_design,ph_actual,ph_design,remarks
1,20 MLD CETP Jajmau Kanpur,350,20,JTETA,Compliant,JTETA,17,30,240,250,24,100,8.6,6-9,CETP is operational and complaint. 150 tanneries have been connected to piping network out of total 340 tanneries.
2,Rooma Apparel Park,11,1.5,Rooma Pollution control company,Compliant,UPSIDA,25,30,120,250,76,100,7.84,6-9,3 MLD CETP sanctioned under Atal Mission. Under Tendering . Tenchinal bids evaluation under progress.
3,Banther CETP,42,4.5,Banther Industrial Pollution Control company,Compliant,UPSIDA,26,30,174,250,72,100,7.85,6-9,Upgradation is Ongoing though Namami Gange Programme
4,Unnao CETP,15,2.15,Unnao Tannery Pollution Control Company,Non Compliant,UPSIDA,40,30,145,250,66,100,8.32,6-9,Upgradation sanctioned under Namami Gange.LOA issued to L1 bidder. Agreement to be signed
5,Mathura CETP,17,6.25,Mathura Audhyogic Chetra and Pradushan Nivaran Company,Compliant,UPSIDA,27,30,232,250,62,100,8.2,6-9,Upgradation completed under Namami Gange Programme.Plant is under operation and maintenance.
6,Tronica City,470,6,Tronica City Companies Association,Compliant,UPSIDA,28,30,192,250,98,100,7.52,6-9,As per directions from NMCG the CETP is allowed to operate at 50 % capacity. DPR amount 21.50 Cr for upgradation of 6 MLD and 4MLD project is under reviewal at NMCG
7,"HPDA, Pilkuwa",15,2.1,SPV Hapur Pilkhuwa Development Authority,Compliant,HPDA,25,30,162,250,96,100,7.32,6-9,Upgradation Completed by HPDA.
8,Bhadohi CETP,30,1 MLD,Bhadohi Industrial Development Authority,Defunct,BIDA,0,,0,,0,,0,,DPR for 800 KLD CETP  amounting to Rs 197.5 Lakhs have been submitted to NMCG vide SMCG letter dated 08/01/2025. NMCG has returned the DPR vide its letter dated 21/05/2025 asking for revisiting the c
9,Moradabad,63,2.4,Uttar Pradesh State Industrial Development Authority,Defunct,UPSIDA,0,,0,,0,,0,,Plant is in a Obselete state. Joint site inspection report of UPSIDA and UPJN(urban) indicates very small amount of effluent generation 0.10 MLD from the industries
10,Jainpur Kanpur Dehat,25,2,Uttar Pradesh State Industrial Development Authority,Defunct,UPSIDA,0,,0,,0,,0,,DPR received from UPSIDA for upgradaton 561.96. Under Review at NMCG. NMCG has instructed SPV to submit SPV registration documents and provide undertaking of 25 % CAPEX sharing which has yet to be com
